Node,Period,Electricity_demand_[MWh/yr]
Latvia,5,3027030.8788678683
Macedonia,5,1941286.501633982
Netherlands,5,21677693.633699212
NO1,5,4483985.88730384
NO2,5,3337343.696777357
NO3,5,2092806.9184339666
NO4,5,1594038.2761139078
NO5,5,1413642.2449519157
Poland,5,49223987.11186899
Portugal,5,12350758.44632623
Romania,5,17922375.235145986
Serbia,5,5404697.184322842
Sweden,5,18619073.336466406
Slovenia,5,3592561.4181393743
Slovakia,5,6573745.025965028
Austria,6,14966977.947080381
BosniaH,6,4059416.7040378153
Belgium,6,18275081.33928366
Bulgaria,6,8676093.985654699
Switzerland,6,17763414.778901078
CzechR,6,12711172.6509096
Germany,6,174188139.3666152
Denmark,6,11848070.441785226
Estonia,6,2787167.1855730647
Spain,6,78215638.7628595
Finland,6,12886991.830455795
France,6,99303717.62087828
GreatBrit.,6,95283436.62670323
Greece,6,13015995.474274488
Croatia,6,4247748.698643959
Hungary,6,13419336.381177437
Ireland,6,6420069.032370285
Italy,6,75022240.71976586
Lithuania,6,10185860.298403116
Luxemb.,6,2223392.9847489716
Latvia,6,3793353.859469538
Macedonia,6,2466992.7008448704
Netherlands,6,27756604.813145928
NO1,6,5291206.6962970495
NO2,6,3950942.1968082273
NO3,6,2483275.7061986164
NO4,6,1889161.8022269132
NO5,6,1674596.3638667169
Poland,6,63105599.00582644
Portugal,6,15126483.181079261
Romania,6,22076327.43971802
Serbia,6,6835758.5183500135
Sweden,6,22595758.190303933
Slovenia,6,4496683.987360755
Slovakia,6,8304609.258893184
Austria,7,16499704.024148436
BosniaH,7,4447137.260458926
Belgium,7,20172206.224268857
Bulgaria,7,9607366.304919655
Switzerland,7,20107089.37939462
CzechR,7,14103154.201939445
Germany,7,191662107.03880745
Denmark,7,13123135.396662181
Estonia,7,3098062.648934403
Spain,7,86013503.92311947
Finland,7,14334400.307152849
France,7,109472892.41768593
GreatBrit.,7,105008547.68342245
Greece,7,14294375.980090884
Croatia,7,4673596.7366628675
Hungary,7,14804985.937343875
Ireland,7,7063947.471914036
Italy,7,83068485.54427616
Lithuania,7,11155055.330067433
Luxemb.,7,2445016.8952560676
Latvia,7,4206533.241793883
Macedonia,7,2690950.218748021
Netherlands,7,30624302.822929453
NO1,7,5543704.696493883
NO2,7,4146925.4090859285
NO3,7,2609753.8429163294
NO4,7,1984058.1666034046
NO5,7,1758268.5587439719
Poland,7,69518431.73576927
Portugal,7,16559984.674336135
Romania,7,24310384.296845842
Serbia,7,7471378.95964668
Sweden,7,25001036.17849978
Slovenia,7,4931926.63999405
Slovakia,7,9121513.326047955
