Node	IntermitentGenerators	Operationalhour	Scenario	Period	GeneratorStochasticAvailabilityRaw
Denmark	Windoffshore	1	scenario1	1	0.2036
Denmark	Windoffshore	2	scenario1	1	0.2038
Denmark	Windoffshore	3	scenario1	1	0.1975
Denmark	Windoffshore	4	scenario1	1	0.1779
Denmark	Windoffshore	5	scenario1	1	0.1522
Denmark	Windoffshore	6	scenario1	1	0.1385
Denmark	Windoffshore	7	scenario1	1	0.1227
Denmark	Windoffshore	8	scenario1	1	0.1105
Denmark	Windoffshore	9	scenario1	1	0.1115
Denmark	Windoffshore	10	scenario1	1	0.1304
Denmark	Windoffshore	11	scenario1	1	0.1642
Denmark	Windoffshore	12	scenario1	1	0.203
Denmark	Windoffshore	13	scenario1	1	0.2327
Denmark	Windoffshore	14	scenario1	1	0.2508
Denmark	Windoffshore	15	scenario1	1	0.2595
Denmark	Windoffshore	16	scenario1	1	0.2618
Denmark	Windoffshore	17	scenario1	1	0.2592
Denmark	Windoffshore	18	scenario1	1	0.2442
Denmark	Windoffshore	19	scenario1	1	0.2259
Denmark	Windoffshore	20	scenario1	1	0.2197
Denmark	Windoffshore	21	scenario1	1	0.2232
Denmark	Windoffshore	22	scenario1	1	0.2281
Denmark	Windoffshore	23	scenario1	1	0.2308
Denmark	Windoffshore	24	scenario1	1	0.2347
France	Windoffshore	1	scenario1	1	0.9734
France	Windoffshore	2	scenario1	1	0.9808
France	Windoffshore	3	scenario1	1	0.9859
France	Windoffshore	4	scenario1	1	0.9901
France	Windoffshore	5	scenario1	1	0.9881
France	Windoffshore	6	scenario1	1	0.9905
France	Windoffshore	7	scenario1	1	0.9846
France	Windoffshore	8	scenario1	1	0.9835
France	Windoffshore	9	scenario1	1	0.9903
France	Windoffshore	10	scenario1	1	0.9907
France	Windoffshore	11	scenario1	1	0.9885
France	Windoffshore	12	scenario1	1	0.9906
France	Windoffshore	13	scenario1	1	0.9906
France	Windoffshore	14	scenario1	1	0.9901
France	Windoffshore	15	scenario1	1	0.9909
France	Windoffshore	16	scenario1	1	0.9842
France	Windoffshore	17	scenario1	1	0.9681
France	Windoffshore	18	scenario1	1	0.9601
France	Windoffshore	19	scenario1	1	0.9576
France	Windoffshore	20	scenario1	1	0.9497
France	Windoffshore	21	scenario1	1	0.9475
France	Windoffshore	22	scenario1	1	0.9349
France	Windoffshore	23	scenario1	1	0.9129
France	Windoffshore	24	scenario1	1	0.91
Germany	Hydrorun-of-the-river	1	scenario1	1	0.425399427
Germany	Hydrorun-of-the-river	2	scenario1	1	0.425105606
Germany	Hydrorun-of-the-river	3	scenario1	1	0.426324485
