Node,GeneratorTechnology,Added_'Mixed_fuels+Other_fossil/non-renewable',col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24
Austria,Bioexisting,Added'Otherrenewable',https://transparency.entsoe.eu/generation/r2/installedGenerationCapacityAggregation/show,,,,,,,,,,,,,,,,,,,,,
Austria,Gasexisting,,,,,Liginiteexisting,Nuclear,Coalexisting,Windonshore,Liginiteexisting,Geo,Hydrorun-of-the-river,Hydroregulated,Windoffshoregrounded,Solar,Solar,Oilexisting,Waste,Gasexisting,Gasexisting,GasOCGT,Wave,Bioexisting,Bioexisting
Austria,GasOCGT,,Country,Year,Unit,FossilPeat,Nuclear,FossilHardcoal,WindOnshore,FossilBrowncoal/Lignite,Geothermal,HydroRun-of-riverandpoundage,HydroWaterReservoir,WindOffshore,Otherrenewable,Solar,FossilOilshale,Waste,FossilGas,FossilCoal-derivedgas,FossilOil,Marine,Other,Biomass
Finland,Hydrorun-of-the-river,,NO1,2024,[MW],0,0,406,0,0,2536,1420,0,9,0,32,6,0,0,2,0,,,
Finland,Solar,,NO2,2024,[MW],0,0,1447,0,0,1409,9816,0,0,0,22,23,0,0,0,0,,,
Finland,Waste,,NO3,2024,[MW],0,0,2120,0,0,1399,3416,0,22,0,6,0,0,0,44,0,,,
Finland,Windonshore,,NO4,2024,[MW],0,0,1160,0,0,687,4907,0,77,0,0,252,0,0,0,0,,,
Finland,Windoffshoregrounded,,NO5,2024,[MW],0,0,0,0,0,844,7102,0,0,0,32,192,0,0,0,0,,,
France,Bioexisting,,Poland,2024,[MW],0,18687,9628,7548,0,322,469,0,14282,0,0,5424,393,0,2412,0,,,
France,Gasexisting,,Portugal,2024,[MW],0,0,5333,0,0,2856,1629,25,1811,0,0,4433,0,0,709,0,,,
France,GasOCGT,,Romania,2024,[MW],1300,176,2958,1733,0,2780,3359,0,1293,0,0,2238,0,0,118,0,,,
France,Geo,,Serbia,2024,[MW],0,0,646,6011,0,2053,484,0,29,0,32,607,0,0,37,0,,,
France,Hydroregulated,,Slovakia,2024,[MW],2003,0,3,276,0,1212,418,0,647,0,0,1183,259,0,861,0,,,
France,Hydrorun-of-the-river,,Slovenia,2024,[MW],696,0,3,1191,0,1125,0,0,1110,0,6,756,58,0,43,0,,,
France,Solar,,Spain,2024,[MW],7117,3223,30159,0,0,1155,15771,0,24154,0,546,29873,704,0,830,0,,,
France,Waste,,Sweden,2024,[MW],6900,0,16700,0,0,0,16300,0,3200,0,0,0,0,0,6600,0,,,
France,Wave,,Switzerland,2024,[MW],2970,0,0,0,0,635,5772,0,0,0,0,0,0,0,0,0,,,
France,Windoffshoregrounded,,GreatBrit.,2024,[MW],6500,0,16000,0,0,1919,0,8013,16900,0,0,39822,0,0,7336,0,,,
Germany,Geo,,Netherlands,Borssele,Windoffshoregrounded,3739.3,,,,,,Netherlands,4096.3,,,,,,,,,,,
Germany,Hydroregulated,,GreatBrit.,DoggerBank,Windoffshoregrounded,0,,,,,,GreatBrit.,6987,,,,,,,,,,,
Germany,Hydrorun-of-the-river,,GreatBrit.,EastAnglia,Windoffshoregrounded,2812.3,,,,,,Germany,7166,,,,,,,,,,,
Germany,Solar,,GreatBrit.,FirthofForth,Windoffshorefloating,30,,,,,,Denmark,1120,,,,,,,,,,,
Germany,Waste,,GreatBrit.,FirthofForth,Windoffshoregrounded,93.2,,,,,,,,,,,,,,,,,,
Germany,Windoffshoregrounded,,Germany,HelgoländerBucht,Windoffshoregrounded,7166,,,,,,,,,,,,,,,,,,
Germany,Windonshore,,Netherlands,HollandseeKust,Windoffshoregrounded,357,,,,,,,,,,,,,,,,,,
GreatBrit.,Bioexisting,,GreatBrit.,Hornsea,Windoffshoregrounded,1218,,,,,,,,,,,,,,,,,,
GreatBrit.,Gasexisting,,GreatBrit.,MorayFirth,Windoffshoregrounded,588,,,,,,,,,,,,,,,,,,
GreatBrit.,Hydrorun-of-the-river,,Denmark,Nordsøen,Windoffshoregrounded,1120,,,,,,,,,,,,,,,,,,
GreatBrit.,Solar,,GreatBrit.,Norfolk,Windoffshoregrounded,60,,,,,,,,,,,,,,,,,,
GreatBrit.,Windoffshoregrounded,,GreatBrit.,OuterDowsing,Windoffshoregrounded,2185.5,,,,,,,,,,,,,,,,,,
NO1,Hydrorun-of-the-river,,,,,Gasexisting,Bioexisting,,,,,,,,,,,,,,,,,
NO1,Solar,,,,,Waste,Gasexisting,,,,,,,,,,,,,,,,,
NO1,Waste,,,,,Bioexisting,Hydroregulated,,,,,,,,,,,,,,,,,
NO1,Windonshore,,,,,Hydroregulated,Hydrorun-of-the-river,,,,,,,,,,,,,,,,,
NO2,Gasexisting,,,,,Hydrorun-of-the-river,Solar,,,,,,,,,,,,,,,,,
NO2,Hydroregulated,,,,,Windonshore,Waste,,,,,,,,,,,,,,,,,
NO2,Hydrorun-of-the-river,,,,,Solar,Windonshore,,,,,,,,,,,,,,,,,
NO2,Waste,,,,,Gasexisting,Gasexisting,,,,,,,,,,,,,,,,,
NO2,Windonshore,,,,,Waste,Hydroregulated,,,,,,,,,,,,,,,,,
NO3,Bioexisting,,,,,Bioexisting,Hydrorun-of-the-river,,,,,,,,,,,,,,,,,
NO3,Hydroregulated,,,,,Hydroregulated,Waste,,,,,,,,,,,,,,,,,
NO3,Hydrorun-of-the-river,,,,,Hydrorun-of-the-river,Windonshore,,,,,,,,,,,,,,,,,
NO3,Solar,,,,,Windonshore,Bioexisting,,,,,,,,,,,,,,,,,
NO3,Waste,,,,,Solar,Hydroregulated,,,,,,,,,,,,,,,,,
NO3,Windonshore,,,,,Gasexisting,Hydrorun-of-the-river,,,,,,,,,,,,,,,,,
NO4,Gasexisting,,,,,Waste,Solar,,,,,,,,,,,,,,,,,
NO4,Hydroregulated,,,,,Bioexisting,Waste,,,,,,,,,,,,,,,,,
NO4,Hydrorun-of-the-river,,,,,Hydroregulated,Windonshore,,,,,,,,,,,,,,,,,
NO4,Solar,,,,,Hydrorun-of-the-river,Gasexisting,,,,,,,,,,,,,,,,,
NO4,Windonshore,,,,,Windonshore,Hydroregulated,,,,,,,,,,,,,,,,,
NO5,Gasexisting,,,,,Solar,Hydrorun-of-the-river,,,,,,,,,,,,,,,,,
NO5,Hydroregulated,,,,,Gasexisting,Solar,,,,,,,,,,,,,,,,,
NO5,Hydrorun-of-the-river,,,,,Waste,Windonshore,,,,,,,,,,,,,,,,,
NO5,Waste,,,,,Bioexisting,Gasexisting,,,,,,,,,,,,,,,,,
Poland,Bioexisting,,,,,Hydroregulated,Hydroregulated,,,,,,,,,,,,,,,,,
Poland,Gasexisting,,,,,Hydrorun-of-the-river,Hydrorun-of-the-river,,,,,,,,,,,,,,,,,
Poland,GasOCGT,,,,,Windonshore,Waste,,,,,,,,,,,,,,,,,
Poland,Hydroregulated,,,,,Solar,,,,,,,,,,,,,,,,,,
Poland,Hydrorun-of-the-river,,,,,Gasexisting,,,,,,,,,,,,,,,,,,
Poland,Solar,,,,,Waste,,,,,,,,,,,,,,,,,,
Poland,Windonshore,,,,,Bioexisting,,,,,,,,,,,,,,,,,,
Portugal,Bioexisting,,,,,Hydroregulated,,,,,,,,,,,,,,,,,,
Portugal,Gasexisting,,,,,Hydrorun-of-the-river,,,,,,,,,,,,,,,,,,
Portugal,Hydroregulated,,,,,Windonshore,,,,,,,,,,,,,,,,,,
Portugal,Hydrorun-of-the-river,,,,,Solar,,,,,,,,,,,,,,,,,,
