Node,Period,Node.1,Period.1,MaxBiomethaneAvailability_[TJ].1,Available_Biomethane_[TJ],col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23
NO1,2,NO1,2,2186.1,0.0,,,,,,,,,,,,,,,,,,
NO2,2,NO2,2,2186.1,0.0,,,,,,,,,,,,,,,,,,
NO3,2,NO3,2,2186.1,0.0,,,,,,,,,,,,,,,,,,
NO4,2,NO4,2,2186.1,0.0,,,,,,,,,,,,,,,,,,
NO5,2,NO5,2,2186.1,0.0,,,,,,,,,,,,,,,,,,
Poland,2,Poland,2,80157.0,49978.4273900171,,,,,,,,,,,,,,,,,,
Portugal,2,Portugal,2,14574.0,7565.771049437977,,,,,,,,,,,,,,,,,,
Romania,2,Romania,2,48580.0,9586.457193797567,,,,,,,,,,,,,,,,,,
Serbia,2,Serbia,2,4858.0,7633.810686272739,,,,,,,,,,,,,,,,,,
Sweden,2,Sweden,2,27933.5,16330.2542184113,,,,,,,,,,,,,,,,,,
Slovenia,2,Slovenia,2,2429.0,5382.633957604679,,,,,,,,,,,,,,,,,,
Slovakia,2,Slovakia,2,6072.5,12752.167965080112,,,,,,,,,,,,,,,,,,
Austria,3,Austria,3,35220.5,30784.902473588696,,,,,,,,,,,,,,,,,,
BosniaH,3,BosniaH,3,7894.25,6662.895003699139,,,,,,,,,,,,,,,,,,
Belgium,3,Belgium,3,20039.25,103291.01237050384,,,,,,,,,,,,,,,,,,
Bulgaria,3,Bulgaria,3,34006.0,15826.387689023592,,,,,,,,,,,,,,,,,,
Switzerland,3,Switzerland,3,17003.0,29692.867284466014,,,,,,,,,,,,,,,,,,
CzechR,3,CzechR,3,34006.0,73026.71071141677,,,,,,,,,,,,,,,,,,
Germany,3,Germany,3,282978.5,369305.73576350324,,,,,,,,,,,,,,,,,,
Denmark,3,Denmark,3,29755.25,23319.474500817698,,,,,,,,,,,,,,,,,,
