Node,ElectrToHeatConv,Period,ElectrToHeatConvInitCap_in_MW
Sweden,HeatPumpAir,1,2508.0
Sweden,HeatPumpAir,2,1824.0
Sweden,HeatPumpAir,3,1140.0
Sweden,HeatPumpAir,4,456.0
Sweden,HeatPumpAir,5,0.0
Sweden,HeatPumpAir,6,0.0
Sweden,HeatPumpAir,7,0.0
Sweden,HeatPumpGround,1,3848.0
Sweden,HeatPumpGround,2,3126.5
Sweden,HeatPumpGround,3,2405.0
Sweden,HeatPumpGround,4,1683.5
Sweden,HeatPumpGround,5,962.0
Sweden,HeatPumpGround,6,240.5
Sweden,HeatPumpGround,7,0.0
