FromNode,ToNode,LineType
MorayFirth,Hornsea,HVDC_Cable
MorayFirth,Nordsøen,HVDC_Cable
MorayFirth,Norfolk,HVDC_Cable
MorayFirth,OuterDowsing,HVDC_Cable
MorayFirth,SørligeNordsjøI,HVDC_Cable
MorayFirth,SørligeNordsjøII,HVDC_Cable
MorayFirth,UtsiraNord,HVDC_Cable
Netherlands,Belgium,HVAC_OverheadLine
Netherlands,Borssele,HVDC_Cable
Netherlands,Denmark,HVDC_Cable
Netherlands,EnergyhubEU,HVDC_OffshoreToOnshore
Netherlands,Germany,HVAC_OverheadLine
Netherlands,GreatBrit.,HVDC_Cable
Netherlands,HelgoländerBucht,HVDC_Cable
Netherlands,HollandseeKust,HVDC_Cable
Netherlands,NO2,HVDC_Cable
NO1,NO2,HVAC_OverheadLine
NO1,NO3,HVAC_OverheadLine
NO1,NO5,HVAC_OverheadLine
NO1,Sweden,HVAC_OverheadLine
NO2,Belgium,HVDC_Cable
NO2,Denmark,HVDC_Cable
NO2,Draupner,HVDC_Cable
NO2,EnergyhubEU,HVDC_OffshoreToOnshore
NO2,France,HVDC_Cable
NO2,Germany,HVDC_Cable
NO2,GreatBrit.,HVDC_Cable
NO2,Netherlands,HVDC_Cable
NO2,NO1,HVAC_OverheadLine
NO2,NO5,HVAC_OverheadLine
NO2,SørligeNordsjøI,HVDC_Cable
NO2,SørligeNordsjøII,HVDC_Cable
NO2,UtsiraNord,HVDC_Cable
NO3,NO1,HVAC_OverheadLine
NO3,NO4,HVAC_OverheadLine
NO3,NO5,HVAC_OverheadLine
NO3,Sweden,HVAC_OverheadLine
NO4,Finland,HVAC_OverheadLine
NO4,NO3,HVAC_OverheadLine
NO4,Sweden,HVAC_OverheadLine
NO5,EnergyhubEU,HVDC_OffshoreToOnshore
NO5,GreatBrit.,HVDC_Cable
NO5,NO1,HVAC_OverheadLine
NO5,NO2,HVAC_OverheadLine
NO5,NO3,HVAC_OverheadLine
NO5,Sleipner,HVDC_Cable
