Node	IntermitentGenerators	Operationalhour	Scenario	Period	GeneratorStochasticAvailabilityRaw
France	Hydro run-of-the-river	24	scenario1	1	0.572817924
Germany	Solar	25	scenario1	1	0.229
Germany	Solar	26	scenario1	1	0.16
Germany	Solar	27	scenario1	1	0.089
Germany	Solar	28	scenario1	1	0.024
Germany	Solar	29	scenario1	1	0.0
Germany	Solar	30	scenario1	1	0.0
Germany	Solar	31	scenario1	1	0.0
Germany	Solar	32	scenario1	1	0.0
Germany	Solar	33	scenario1	1	0.0
Germany	Solar	34	scenario1	1	0.0
Germany	Solar	35	scenario1	1	0.0
Germany	Solar	36	scenario1	1	0.0
Germany	Solar	37	scenario1	1	0.0
Germany	Solar	38	scenario1	1	0.0
Germany	Solar	39	scenario1	1	0.0
Germany	Solar	40	scenario1	1	0.036
Germany	Solar	41	scenario1	1	0.116
Germany	Solar	42	scenario1	1	0.226
Germany	Solar	43	scenario1	1	0.308
Germany	Solar	44	scenario1	1	0.363
Germany	Solar	45	scenario1	1	0.387
Germany	Solar	46	scenario1	1	0.388
Germany	Solar	47	scenario1	1	0.37
Germany	Solar	48	scenario1	1	0.326
Denmark	Solar	25	scenario1	1	0.189
Denmark	Solar	26	scenario1	1	0.119
Denmark	Solar	27	scenario1	1	0.058
Denmark	Solar	28	scenario1	1	0.015
Denmark	Solar	29	scenario1	1	0.0
Denmark	Solar	30	scenario1	1	0.0
Denmark	Solar	31	scenario1	1	0.0
Denmark	Solar	32	scenario1	1	0.0
Denmark	Solar	33	scenario1	1	0.0
Denmark	Solar	34	scenario1	1	0.0
Denmark	Solar	35	scenario1	1	0.0
Denmark	Solar	36	scenario1	1	0.0
Denmark	Solar	37	scenario1	1	0.0
Denmark	Solar	38	scenario1	1	0.0
Denmark	Solar	39	scenario1	1	0.016
Denmark	Solar	40	scenario1	1	0.117
Denmark	Solar	41	scenario1	1	0.24
Denmark	Solar	42	scenario1	1	0.361
Denmark	Solar	43	scenario1	1	0.44
Denmark	Solar	44	scenario1	1	0.472
Denmark	Solar	45	scenario1	1	0.496
Denmark	Solar	46	scenario1	1	0.485
Denmark	Solar	47	scenario1	1	0.432
Denmark	Solar	48	scenario1	1	0.366
France	Solar	25	scenario1	1	0.488
France	Solar	26	scenario1	1	0.366
France	Solar	27	scenario1	1	0.227
France	Solar	28	scenario1	1	0.09
France	Solar	29	scenario1	1	0.007
France	Solar	30	scenario1	1	0.0
France	Solar	31	scenario1	1	0.0
France	Solar	32	scenario1	1	0.0
France	Solar	33	scenario1	1	0.0
France	Solar	34	scenario1	1	0.0
France	Solar	35	scenario1	1	0.0
France	Solar	36	scenario1	1	0.0
France	Solar	37	scenario1	1	0.0
France	Solar	38	scenario1	1	0.0
France	Solar	39	scenario1	1	0.0
France	Solar	40	scenario1	1	0.035
France	Solar	41	scenario1	1	0.169
France	Solar	42	scenario1	1	0.336
France	Solar	43	scenario1	1	0.481
France	Solar	44	scenario1	1	0.585
France	Solar	45	scenario1	1	0.644
France	Solar	46	scenario1	1	0.664
France	Solar	47	scenario1	1	0.654
France	Solar	48	scenario1	1	0.601
Germany	Wind onshore	25	scenario1	1	0.1348
Germany	Wind onshore	26	scenario1	1	0.1382
Germany	Wind onshore	27	scenario1	1	0.1266
Germany	Wind onshore	28	scenario1	1	0.1044
Germany	Wind onshore	29	scenario1	1	0.1083
Germany	Wind onshore	30	scenario1	1	0.1133
Germany	Wind onshore	31	scenario1	1	0.1153
Germany	Wind onshore	32	scenario1	1	0.1183
Germany	Wind onshore	33	scenario1	1	0.1205
Germany	Wind onshore	34	scenario1	1	0.1214
Germany	Wind onshore	35	scenario1	1	0.1249
Germany	Wind onshore	36	scenario1	1	0.1261
Germany	Wind onshore	37	scenario1	1	0.1307
Germany	Wind onshore	38	scenario1	1	0.1352
Germany	Wind onshore	39	scenario1	1	0.1371
Germany	Wind onshore	40	scenario1	1	0.1417
Germany	Wind onshore	41	scenario1	1	0.1916
Germany	Wind onshore	42	scenario1	1	0.2436
Germany	Wind onshore	43	scenario1	1	0.2655
Germany	Wind onshore	44	scenario1	1	0.2699
Germany	Wind onshore	45	scenario1	1	0.2634
Germany	Wind onshore	46	scenario1	1	0.2555
Germany	Wind onshore	47	scenario1	1	0.2496
Germany	Wind onshore	48	scenario1	1	0.2471
Denmark	Wind onshore	25	scenario1	1	0.1317
Denmark	Wind onshore	26	scenario1	1	0.1415
Denmark	Wind onshore	27	scenario1	1	0.1521
Denmark	Wind onshore	28	scenario1	1	0.163
Denmark	Wind onshore	29	scenario1	1	0.1885
Denmark	Wind onshore	30	scenario1	1	0.2103
Denmark	Wind onshore	31	scenario1	1	0.235
