InterconnectorLinks,ToNode,Period,col3,InitialCap,Potential_expansion_(2030),Exponential_growth,Exp._Incl._Cap,Lowest,Highest,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23
EastAnglia,FirthofForth,6,2,0.0,0.0,0.0,0.0,0.0,0.0,Denmark,Germany,4,3200,,,,,,,,,,
EastAnglia,FirthofForth,7,2,0.0,0.0,0.0,0.0,0.0,0.0,Denmark,Germany,5,3200,,,,,,,,,,
EastAnglia,FirthofForth,8,2,0.0,0.0,0.0,0.0,0.0,0.0,Denmark,Germany,6,3200,,,,,,,,,,
EastAnglia,GreatBrit.,1,1,2812.3,0.0,50000.0,50000.0,0.0,0.0,Denmark,Germany,7,3200,,,,,,,,,,
EastAnglia,GreatBrit.,2,1,2812.3,0.0,50000.0,50000.0,0.0,0.0,Poland,Germany,1,0,,,,,,,,,,
EastAnglia,GreatBrit.,3,1,2812.3,0.0,50000.0,50000.0,0.0,0.0,Poland,Germany,2,2300.0000000000005,,,,,,,,,,
EastAnglia,GreatBrit.,4,1,2812.3,0.0,50000.0,50000.0,0.0,0.0,Poland,Germany,3,2300.0000000000005,,,,,,,,,,
EastAnglia,GreatBrit.,5,1,2812.3,0.0,50000.0,50000.0,0.0,0.0,Poland,Germany,4,2300.0000000000005,,,,,,,,,,
EastAnglia,GreatBrit.,6,1,2812.3,0.0,50000.0,50000.0,0.0,0.0,Poland,Germany,5,2300.0000000000005,,,,,,,,,,
EastAnglia,GreatBrit.,7,1,2812.3,0.0,50000.0,50000.0,0.0,0.0,Poland,Germany,6,2300.0000000000005,,,,,,,,,,
EastAnglia,GreatBrit.,8,1,2812.3,0.0,50000.0,50000.0,0.0,0.0,Poland,Germany,7,2300.0000000000005,,,,,,,,,,
EastAnglia,Hornsea,1,2,0.0,0.0,0.0,0.0,0.0,0.0,Sweden,Germany,1,0,,,,,,,,,,
EastAnglia,Hornsea,2,2,0.0,0.0,0.0,0.0,0.0,0.0,Sweden,Germany,2,700,,,,,,,,,,
EastAnglia,Hornsea,3,2,0.0,0.0,0.0,0.0,0.0,0.0,Sweden,Germany,3,700,,,,,,,,,,
EastAnglia,Hornsea,4,2,0.0,0.0,0.0,0.0,0.0,0.0,Sweden,Germany,4,700,,,,,,,,,,
EastAnglia,Hornsea,5,2,0.0,0.0,0.0,0.0,0.0,0.0,Sweden,Germany,5,700,,,,,,,,,,
EastAnglia,Hornsea,6,2,0.0,0.0,0.0,0.0,0.0,0.0,Sweden,Germany,6,700,,,,,,,,,,
EastAnglia,Hornsea,7,2,0.0,0.0,0.0,0.0,0.0,0.0,Sweden,Germany,7,700,,,,,,,,,,
EastAnglia,Hornsea,8,2,0.0,0.0,0.0,0.0,0.0,0.0,Poland,Lithuania,1,0,,,,,,,,,,
EastAnglia,MorayFirth,1,2,0.0,0.0,0.0,0.0,0.0,0.0,Poland,Lithuania,2,2000,,,,,,,,,,
EastAnglia,MorayFirth,2,2,0.0,0.0,0.0,0.0,0.0,0.0,Poland,Lithuania,3,2000,,,,,,,,,,
EastAnglia,MorayFirth,3,2,0.0,0.0,0.0,0.0,0.0,0.0,Poland,Lithuania,4,2000,,,,,,,,,,
EastAnglia,MorayFirth,4,2,0.0,0.0,0.0,0.0,0.0,0.0,Poland,Lithuania,5,2000,,,,,,,,,,
EastAnglia,MorayFirth,5,2,0.0,0.0,0.0,0.0,0.0,0.0,Poland,Lithuania,6,2000,,,,,,,,,,
EastAnglia,MorayFirth,6,2,0.0,0.0,0.0,0.0,0.0,0.0,Poland,Lithuania,7,2000,,,,,,,,,,
EastAnglia,MorayFirth,7,2,0.0,0.0,0.0,0.0,0.0,0.0,Latvia,Estonia,1,0,,,,,,,,,,
EastAnglia,MorayFirth,8,2,0.0,0.0,0.0,0.0,0.0,0.0,Latvia,Estonia,2,700,,,,,,,,,,
EastAnglia,Norfolk,1,2,0.0,0.0,0.0,0.0,0.0,0.0,Latvia,Estonia,3,700,,,,,,,,,,
EastAnglia,Norfolk,2,2,0.0,0.0,0.0,0.0,0.0,0.0,Latvia,Estonia,4,700,,,,,,,,,,
EastAnglia,Norfolk,3,2,0.0,0.0,0.0,0.0,0.0,0.0,Latvia,Estonia,5,700,,,,,,,,,,
