Table,Key,Value,Reason
Industry/SteelInitialCapacity.csv,Greece|BF-BOF-CCS,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Bulgaria|BF-BOF-BioCarbon,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Bulgaria|H2-DRI,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Bulgaria|Scrap,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Bulgaria|BF-BOF-CCS,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Slovenia|BF-BOF-BioCarbon,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Slovenia|H2-DRI,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Slovenia|Scrap,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Slovenia|BF-BOF-CCS,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Croatia|BF-BOF-BioCarbon,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Croatia|H2-DRI,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Croatia|Scrap,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Croatia|BF-BOF-CCS,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementInitialCapacity.csv,Austria|H2-Cement,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementInitialCapacity.csv,Austria|NG-CCS-Cement,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementInitialCapacity.csv,Belgium|H2-Cement,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementInitialCapacity.csv,Belgium|NG-CCS-Cement,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementInitialCapacity.csv,BosniaH|H2-Cement,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementInitialCapacity.csv,BosniaH|NG-CCS-Cement,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementInitialCapacity.csv,Bulgaria|H2-Cement,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementInitialCapacity.csv,Bulgaria|NG-CCS-Cement,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementInitialCapacity.csv,Croatia|H2-Cement,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementInitialCapacity.csv,Croatia|NG-CCS-Cement,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementInitialCapacity.csv,CzechR|H2-Cement,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementInitialCapacity.csv,CzechR|NG-CCS-Cement,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementInitialCapacity.csv,Denmark|H2-Cement,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementInitialCapacity.csv,Denmark|NG-CCS-Cement,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementInitialCapacity.csv,Estonia|H2-Cement,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementInitialCapacity.csv,Estonia|NG-CCS-Cement,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementInitialCapacity.csv,Finland|H2-Cement,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementInitialCapacity.csv,Finland|NG-CCS-Cement,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementInitialCapacity.csv,France|H2-Cement,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementInitialCapacity.csv,France|NG-CCS-Cement,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementInitialCapacity.csv,Germany|H2-Cement,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementInitialCapacity.csv,Germany|NG-CCS-Cement,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementInitialCapacity.csv,Greece|H2-Cement,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementInitialCapacity.csv,Greece|NG-CCS-Cement,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementInitialCapacity.csv,Hungary|H2-Cement,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementInitialCapacity.csv,Hungary|NG-CCS-Cement,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementInitialCapacity.csv,Ireland|H2-Cement,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementInitialCapacity.csv,Ireland|NG-CCS-Cement,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/CementInitialCapacity.csv,Italy|H2-Cement,0.0,InternalEMPIRE Pyomo Param default for absent source key
