Nodes,Period,col2,col3,Power,col5,col6,Electricity_[TWh],col8,Heating_(inflexible_=_x%),Industry_(100%),Transport_(inflexible_=_y%)
Sweden,3,,,,,,,,26243140.823029585,55844401.617607735,15883095.72726874
Slovenia,3,,,,,,,,1609829.5326871432,7480644.8133413335,4088441.514453989
Slovakia,3,,,,,,,,3480937.5175084225,15755140.955578756,7153647.628353215
Austria,4,,,,,,,,9390159.482864378,48258787.672748744,17574341.026678648
BosniaH,4,,,,,,,,2841514.418825118,5325771.582504289,4337904.096866776
Belgium,4,,,,,,,,11855512.962620912,66229821.6025482,20179464.51922899
Bulgaria,4,,,,,,,,7143629.128701978,14782819.686406124,8970047.197413038
Switzerland,4,,,,,,,,16618873.080094375,46546900.02365664,16950925.08949188
CzechR,4,,,,,,,,11744870.883420508,39123118.62716569,13092476.141884482
Germany,4,,,,,,,,75838458.35249895,346232751.71549976,212970283.63643822
Denmark,4,,,,,,,,8479625.683459673,15055055.677526943,12212486.002770102
Estonia,4,,,,,,,,2416117.0719047864,3270470.7472757394,2756593.484089707
Spain,4,,,,,,,,32711487.409579914,113368512.17128979,88142805.31777564
Finland,4,,,,,,,,16026152.681517899,52120794.70629217,12538164.59566209
France,4,,,,,,,,71366035.59497954,176102947.75702697,113925329.3843068
GreatBrit.,4,,,,,,,,44510504.87597425,131954069.6445061,104737573.9093142
Greece,4,,,,,,,,5439935.759492938,15502696.67794685,14713054.13867139
Croatia,4,,,,,,,,2127778.2535924464,6052735.656278631,4930024.953919725
Hungary,4,,,,,,,,8051773.3569245655,17866640.699671447,14996661.19633303
Ireland,4,,,,,,,,3172232.0725985337,13998569.53755952,7199878.7352495575
Italy,4,,,,,,,,56477390.06813622,165962904.80794436,83700421.58302192
Lithuania,4,,,,,,,,1828641.6586296128,6206153.3249746235,12437691.246007139
Luxemb.,4,,,,,,,,983258.1119928143,4483364.61510522,1999735.3675677949
Latvia,4,,,,,,,,2828704.7424277565,3035498.484467003,3940177.175972607
Macedonia,4,,,,,,,,714425.9016978738,3002550.2451007348,2849612.891742319
Netherlands,4,,,,,,,,15328113.929869868,66735151.67683456,28308430.43056557
NO1,4,,,,,,,,7518007.812999805,15710294.79989363,4633593.107435947
NO2,4,,,,,,,,5368828.30811999,11962628.933088427,3528256.832681949
NO3,4,,,,,,,,3265979.4829916516,7621510.494152555,2247887.7031763364
NO4,4,,,,,,,,2528111.1311307563,5756918.763487165,1697945.1654047521
NO5,4,,,,,,,,2255652.4088733084,5089173.848613538,1501000.532952356
Poland,4,,,,,,,,28276604.802318424,89135287.87761849,71386849.92036048
Portugal,4,,,,,,,,4186303.4045469994,21136621.656350754,19533002.70403365
Romania,4,,,,,,,,9527291.539386284,24438791.768795475,27023558.289130557
Serbia,4,,,,,,,,1054750.9241800758,10620625.786713127,8650625.622552166
Sweden,4,,,,,,,,22182383.16584845,61550460.11297613,22438366.04230597
Slovenia,4,,,,,,,,1460859.7269958013,8171441.250775363,5667360.766895612
Slovakia,4,,,,,,,,3257402.911752201,18839747.436830375,10026495.284151541
Austria,5,,,,,,,,8470098.656316759,58432491.78795124,20469506.989417512
BosniaH,5,,,,,,,,2725452.5365005475,6281720.475892457,5162178.431384795
Belgium,5,,,,,,,,11156950.94291954,78221931.53018872,24049638.511762768
Bulgaria,5,,,,,,,,6721477.884555984,16593710.25600499,10579029.59614079
Switzerland,5,,,,,,,,17506755.276991904,56359711.55824904,19743390.60962341
CzechR,5,,,,,,,,11090552.462634977,45787530.70295113,15472793.058723759
Germany,5,,,,,,,,74145509.0597965,395907506.3091488,247830749.458444
Denmark,5,,,,,,,,8585285.774915008,17747676.095468074,15436332.444764799
Estonia,5,,,,,,,,2483094.2603502925,3749424.7809352796,3214430.7739582197
Spain,5,,,,,,,,31513469.517085902,128203107.62701447,108056509.0279132
Finland,5,,,,,,,,14037462.36089814,58066697.442736454,14870848.69842715
France,5,,,,,,,,60669807.26430351,200115086.82685933,135600017.8027106
